# Distance correction factor
# distance in cm, correction (raw), correction (clean)
# ----------------------------------------------------------------------
5	    0.86    0.86 
10    0.94    0.94 
15    1.0     1.00 
20    1.03    1.03 
25    1.04    1.04 
30    1.09    1.07 
35    1.09    1.08 
40    1.09    1.09 
50    1.09    1.09 
60    1.1     1.10 
70    1.11    1.11 
80    1.11    1.11 
90    1.12    1.12 
100		1.12    1.13 
125		1.14    1.15 
150		1.16    1.17 
175		1.17    1.20 
200		1.2	    1.22 
225		1.2	    1.24 
250		1.26    1.26 
275		1.26    1.28 
300		1.26    1.31 
325		1.27    1.33 
350		1.27    1.35 
375		1.38    1.37 
400		1.39    1.39 
425		1.42    1.42 
450		1.47    1.44 
475		1.5	    1.46 
500		1.5	    1.48 
525		1.50    1.50 
550		1.57    1.53 
575		1.55    1.55 
600		1.63    1.57 
625		1.59    1.59
650		1.61    1.61
675		1.64    1.64
700		1.66    1.66
725		1.68    1.68
750		1.70    1.70
775		1.72    1.72
800		1.75    1.75
